price,furnished,location,space
"<span class=""price-wrapper"">€ 3.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Rijnbuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 1.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">De Omval</span>","<span class=""specs-val"">                85 m²                    </span>"
"<span class=""price-wrapper"">€ 2.850 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.800 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.350 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Stadionbuurt</span>","<span class=""specs-val"">                94 m²                    </span>"
"<span class=""price-wrapper"">€ 1.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Oude Pijp</span>","<span class=""specs-val"">                55 m²                    </span>"
"<span class=""price-wrapper"">€ 2.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Scheldebuurt</span>","<span class=""specs-val"">                120 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Apollobuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.850 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                104 m²                    </span>"
"<span class=""price-wrapper"">€ 2.800 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 2.850 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                91 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Frederik Hendrikbuurt</span>","<span class=""specs-val"">                75 m²                    </span>"
"<span class=""price-wrapper"">€ 1.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Frederik Hendrikbuurt</span>","<span class=""specs-val"">                65 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Nieuwmarkt/Lastage</span>","<span class=""specs-val"">                90 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                100 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                100 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                100 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (inclusief servicekosten à € 182 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                80 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (inclusief servicekosten à € 182 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (inclusief servicekosten à € 182 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Oostelijk Havengebied</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Indische Buurt Oost</span>","<span class=""specs-val"">                90 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Indische Buurt Oost</span>","<span class=""specs-val"">                90 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Indische Buurt Oost</span>","<span class=""specs-val"">                90 m²                    </span>"
"<span class=""price-wrapper"">€ 1.275 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Indische Buurt Oost</span>","<span class=""specs-val"">                70 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                60 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                60 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                60 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                81 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                81 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">Weesperbuurt/Plantage</span>","<span class=""specs-val"">                81 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                135 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                135 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                135 m²                    </span>"
"<span class=""price-wrapper"">€ 2.250 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Overtoomse Sluis</span>","<span class=""specs-val"">                74 m²                    </span>"
"<span class=""price-wrapper"">€ 2.250 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Overtoomse Sluis</span>","<span class=""specs-val"">                74 m²                    </span>"
"<span class=""price-wrapper"">€ 2.250 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Overtoomse Sluis</span>","<span class=""specs-val"">                74 m²                    </span>"
"<span class=""price-wrapper"">€ 6.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand, monument en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                300 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">De Weteringschans</span>","<span class=""specs-val"">                127 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">De Weteringschans</span>","<span class=""specs-val"">                127 m²                    </span>"
"<span class=""price-wrapper"">€ 3.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">De Weteringschans</span>","<span class=""specs-val"">                127 m²                    </span>"
"<span class=""price-wrapper"">€ 2.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                110 m²                    </span>"
"<span class=""price-wrapper"">€ 2.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                110 m²                    </span>"
"<span class=""price-wrapper"">€ 3.850 per maand (exclusief servicekosten à € 489 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                180 m²                    </span>"
"<span class=""price-wrapper"">€ 2.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                110 m²                    </span>"
"<span class=""price-wrapper"">€ 3.850 per maand (exclusief servicekosten à € 489 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                180 m²                    </span>"
"<span class=""price-wrapper"">€ 3.850 per maand (exclusief servicekosten à € 489 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-West</span>","<span class=""specs-val"">                180 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand <em class=""txt-sft"">(servicekosten onbekend)</em></span>","<span class=""specs-val"">                Gedeeltelijk gestoffeerd                    </span>","<span itemprop=""title"">Osdorp-Midden</span>","<span class=""specs-val"">                115 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand <em class=""txt-sft"">(servicekosten onbekend)</em></span>","<span class=""specs-val"">                Gedeeltelijk gestoffeerd                    </span>","<span itemprop=""title"">Osdorp-Midden</span>","<span class=""specs-val"">                115 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand <em class=""txt-sft"">(servicekosten onbekend)</em></span>","<span class=""specs-val"">                Gedeeltelijk gestoffeerd                    </span>","<span itemprop=""title"">Osdorp-Midden</span>","<span class=""specs-val"">                115 m²                    </span>"
"<span class=""price-wrapper"">€ 6.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                270 m²                    </span>"
"<span class=""price-wrapper"">€ 6.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                270 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                120 m²                    </span>"
"<span class=""price-wrapper"">€ 6.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                270 m²                    </span>"
"<span class=""price-wrapper"">€ 3.250 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand                    </span>","<span itemprop=""title"">Grachtengordel-Zuid</span>","<span class=""specs-val"">                130 m²                    </span>"
"<span class=""price-wrapper"">€ 2.450 per maand (exclusief servicekosten à € 36 /mnd)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Vondelbuurt</span>","<span class=""specs-val"">                86 m²                    </span>"
"<span class=""price-wrapper"">€ 5.000 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                200 m²                    </span>"
"<span class=""price-wrapper"">€ 1.600 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                60 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Buitenveldert-Oost</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.650 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Beschermd stads- of dorpsgezicht, gemeubileerd en gestoffeerd                    </span>","<span itemprop=""title"">Haarlemmerbuurt</span>","<span class=""specs-val"">                90 m²                    </span>"
"<span class=""price-wrapper"">€ 3.700 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Jordaan</span>","<span class=""specs-val"">                155 m²                    </span>"
"<span class=""price-wrapper"">€ 2.500 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-Zuid</span>","<span class=""specs-val"">                101 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monument                    </span>","<span itemprop=""title"">Dapperbuurt</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monument                    </span>","<span itemprop=""title"">Dapperbuurt</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.950 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monument                    </span>","<span itemprop=""title"">Dapperbuurt</span>","<span class=""specs-val"">                95 m²                    </span>"
"<span class=""price-wrapper"">€ 1.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Dapperbuurt</span>","<span class=""specs-val"">                85 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd, gemeubileerd en beschermd stads- of dorpsgezicht                    </span>","<span itemprop=""title"">Oosterparkbuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 2.000 per maand (inclusief servicekosten à € 50 /mnd)</span>","<span class=""specs-val"">                Gemeubileerd                    </span>","<span itemprop=""title"">Dapperbuurt</span>","<span class=""specs-val"">                140 m²                    </span>"
"<span class=""price-wrapper"">€ 3.350 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                105 m²                    </span>"
"<span class=""price-wrapper"">€ 3.350 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                105 m²                    </span>"
"<span class=""price-wrapper"">€ 3.350 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Monumentaal pand en gemeubileerd                    </span>","<span itemprop=""title"">Grachtengordel-West</span>","<span class=""specs-val"">                105 m²                    </span>"
"<span class=""price-wrapper"">€ 2.750 per maand (geen servicekosten)</span>","<span class=""specs-val"">                Gestoffeerd                    </span>","<span itemprop=""title"">Apollobuurt</span>","<span class=""specs-val"">                120 m²                    </span>"
